created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Fri May 19 23:13:04 +0000 2023;1659698715073081300;1659698715073081345;"@hellosnzh di awal thread udah ngomong utk "anak2 yg masih kecil" kecuali untuk kasus kdrt &amp; selingkuh. isnt that clear?";0;0;0;5;;in;507287447;1659385320234958800;1659385320234958851;"";"";AgnarY
Fri May 19 22:41:22 +0000 2023;1659690740732276700;1659690740732276736;"@NdrewsTjan but, menyatukan 2 pikiran org dewasa jg susah. rawan bgt kdrt. apalagi kalau nahkodanya udh goyang. ini emang sebuah dilema. berat. intinya pilih pasangan baik baik sebelum memulai perkenalan lebih jauh. gua pernah bgt liat posisi tante gua cerai separah apa traumanya";0;0;0;0;;in;1596535084458180608;1658772518034096000;1658772518034096128;"";"";purplemelkk
Fri May 19 23:43:48 +0000 2023;1659706450611150800;1659706450611150848;"@skeptisyit Kdrt (keseruan dalam rumah tangga)";1;0;0;0;;in;1531860472005545985;1659614815336403000;1659614815336402945;"";"";_leuneung
Fri May 19 23:15:23 +0000 2023;1659699299884871700;1659699299884871680;"@kreidreprinz Kena kdrt kk :((";0;0;0;0;;in;1519550317074944001;1659574101319749600;1659574101319749632;"";"";sobasukidesu_
Fri May 19 22:14:47 +0000 2023;1659684047797522400;1659684047797522433;"Kalau ini efek KDRT dan perang dunia ke 3 https://t.co/NPTayvhrHI";0;0;0;0;;in;1534907323407208448;1659684047797522400;1659684047797522433;"https://pbs.twimg.com/media/Fwhh2J3aQAAESf7.jpg";"photo";dnx09z
Fri May 19 21:49:11 +0000 2023;1659677606336405500;1659677606336405506;"@orngautmnprds @wiridkh @menghanyurkan Paradigma teologi yg dipake masih kurang dalem jg keknya, padahal kalo dipikir2 jauh ke depan, dosa si ibu bakalan jauh lebih banyak klo dipaksa membesarkan anak yg ga dia inginkan\nBs ujung2nya jd ditelantarkan, kdrt, dibuang/diusir atau dimaki2 tiap hari utk pelampiasan emosi";0;1;0;2;;in;861456638091313152;1659521766551879700;1659521766551879680;"";"";Mbak2tajir
Fri May 19 19:50:53 +0000 2023;1659647834768150500;1659647834768150528;"@angewwie Perceraian itu memang menyakitkan,tp sy stuju anak adalah korban yg paling bnyk dirugikan. Tdk menyalahkan org yg mmtskn brcerai. Lebih mnylahkan pelaku yg mnybbkn cerai,misal ksus selingkuh,kdrt,suami ga kasih nafkah,itulh cnth case" cerai krn keegoisan,yg bgtu g mkirin anakny";0;0;0;0;;in;23048828;1659448981695627300;1659448981695627264;"";"";ozi_9
Fri May 19 19:48:26 +0000 2023;1659647218603769900;1659647218603769856;"@m_yunus_dk Amiiiinnn🤲";0;0;0;0;;en;4084386129;1659505619848536000;1659505619848536064;"";"";kdrtmhr
Wed May 17 09:52:41 +0000 2023;1658772518034096000;1658772518034096128;"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan";1418;239;609;1820;;in;1176673445263765504;1658772518034096000;1658772518034096128;"";"";NdrewsTjan
Fri May 19 19:06:23 +0000 2023;1659636635825479700;1659636635825479682;"W posisi sbg anak ni ya.\n\nNgeliat ortu ribut dari gue sd sampe lulus smp, ngeliat kdrt dlm rumah, saat mereka beneran cerai, gue lega luar biasa. Tp sayang trauma masa kecil gue ngeliat ortu ribut gabisa ilang.\n\nTau gitu dr awal aja kan cerai nya";0;0;0;0;;in;57855893;1659636635825479700;1659636635825479682;"";"";TiaraDM17
Fri May 19 19:05:36 +0000 2023;1659636440211538000;1659636440211537920;""loh si A selingkuh kdrt tp agamanya bagus.."0\n\nye kalo dia selingkuh dia kdrt masih belom bagus berati itu agamanya masi ada yg kurang";0;0;0;0;;in;1568153628527194113;1659636438047297500;1659636438047297536;"";"";mencaritaeyong
Fri May 19 14:27:57 +0000 2023;1659566567527710700;1659566567527710721;"@convomf Aku dapet yg tukang KDRT";0;0;0;0;;in;1202886847791128576;1659533174026956800;1659533174026956801;"";"";dinasaurus17
Fri May 19 05:52:24 +0000 2023;1659436825965101000;1659436825965101056;"role model this role model that, role model pernikahan gue nanti cuma keluarga ini. karyawan kantoran ft. ibu rumah tangga dengan 2 orang anak dan hewan peliharaan, tinggal di rumah yg masih nyicil KPR 32 tahun. https://t.co/20VWQqic34";263;141;1522;4567;;in;1102064503749959681;1659436825965101000;1659436825965101056;"https://pbs.twimg.com/media/FweA_6uagAATP26.jpg";"photo";OHMYV3NUS
Fri May 19 14:04:25 +0000 2023;1659560646403563500;1659560646403563520;"Ini maksutnya kudu pd mikir sblum nikah. Konsef nya dipahamin. Mampu gk, ketaker gk kira-kira kudu dealing sm org macam psngn antum masing-masing. Cm kalo kdrt sm perceraian beda cerita. Nah sbnernya masih bertanya-tanya jg tuh stad gmn caranya yakin ini gk selingkuh dan gak kdrt";0;0;0;0;;in;1115882450209705985;1659560646403563500;1659560646403563520;"";"";RATNAEMP
Fri May 19 14:10:09 +0000 2023;1659562089630007300;1659562089630007296;"7 Film tentang Perjuangan Korban KDRT, Emosional! https://t.co/KrpVXHGQ1A";0;0;1;0;;in;1318894199270330369;1659562089630007300;1659562089630007296;"";"";IDNTimesJogja
Fri May 19 13:53:54 +0000 2023;1659557996035465200;1659557996035465217;"@jskelovebot @MiyaAa092000 kdrt";0;0;0;0;;in;1437426122656927750;1659552907086418000;1659552907086417921;"";"";vrnvll
Fri May 19 15:16:34 +0000 2023;1659578802517999600;1659578802517999621;"めり込んでる…？";0;0;0;0;;ja;1521051042557079552;1659578802517999600;1659578802517999621;"";"";kdrt_420
Fri May 19 15:05:51 +0000 2023;1659576106855596000;1659576106855596033;"Gw malah bersyukur mak bapak cerai anjret, terhindar dari potensi kdrt yang udh mulai keliatan.";0;0;0;0;;in;1140253361272287232;1659576106855596000;1659576106855596033;"";"";OrokanaJ
Fri May 19 14:23:25 +0000 2023;1659565424651157500;1659565424651157504;"@LailaMa08717177 @detikcom Di budaya patriarki definisi nikah adlah perbudakan yg dilegalkan (menurut aku, dengan mwlihat kehidupan pernikahan teman2 dan kerabat)\nBahkan anak laki2 dianggap istimewa, anak perempuan walau bekerja tetap harus bisa melakukan pekerjaan rumah\nKalau ada KDRT saat istri speak up";0;1;0;3;;in;1503957133586362370;1659481014706532400;1659481014706532352;"";"";baygonsetobeli
Thu May 18 00:23:54 +0000 2023;1658991767818207200;1658991767818207232;"@NdrewsTjan @_iin07 Kupinjam ya kata2 ini. Buat status wa. https://t.co/PTnYzku4qH";1;1;1;2;;in;147128594;1658772518034096000;1658772518034096128;"https://pbs.twimg.com/media/FwXsN9yaMAAvRe5.jpg";"photo";Eka4Liong
Fri May 19 15:23:50 +0000 2023;1659580629707788300;1659580629707788289;"@deanas93 Klo egonya terluka cenderung jd abusive dan kasar. Ujung2nya KDRT. Yg paling parah yaa menyiksa sampe membunuh.\n\nKbnykan Laki² Indonesia itu dah fatherless patriarki pula. Didikannya laki² ga bole nangis, ga bole cengeng ga boleh gagal, ga boleh mengalami penolakan dll.";1;1;2;5;;in;1026131826;1659579342954053600;1659579342954053632;"";"";Rieska_Ayu11
Fri May 19 14:40:59 +0000 2023;1659569845887991800;1659569845887991808;"@tang__kira Semoga yg belom nikah, diberikan jodoh yg gak doyan selingkuh dan gak kdrt";0;0;0;1;;in;1596749386263908357;1659443645408493600;1659443645408493568;"";"";ad_espresso
Wed May 17 09:52:41 +0000 2023;1658772518034096000;1658772518034096128;"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan";1418;239;609;1820;;in;1176673445263765504;1658772518034096000;1658772518034096128;"";"";NdrewsTjan
Wed May 17 12:46:53 +0000 2023;1658816357075648500;1658816357075648514;"Selama bukan kasus affair dan kdrt, divorce seharusnya tdk dilakukan. \nDalam kasus affair saja kalau pasangannya diberi kesempatan dan berubah, maka tdk perlu berpisah. \n\nSedangkan dalam kasus kdrt divorce bsa dilakukan untuk keselamatan korban kdrt ( termasuk anak2 )";85;17;20;88;;in;1176673445263765504;1658772518034096000;1658772518034096128;"";"";NdrewsTjan
Fri May 19 14:19:22 +0000 2023;1659564404919373800;1659564404919373824;"@jevilonie @seirga_ KLO MW KDRT JNGAN BAWA NM GUA";0;0;0;0;;in;1640519022423965697;1659556045616980000;1659556045616979969;"";"";ihsagi_
Fri May 19 14:44:10 +0000 2023;1659570649810227200;1659570649810227200;"Bokap nyokap cerai bukan karena orang ketiga atau KDRT. Dan tetap aja kita sebagai anak, bersyukur akhirnya mereka pisah. Mereka udah gede, dan kita udah capek ngeliat mereka jadi banyak ga cocok dan ga bisa hidup tenang terus. Biar hidup kita sebagai anak juga tenang";0;0;0;0;;in;1370208162305908739;1659570649810227200;1659570649810227200;"";"";hidublurus
Fri May 19 14:55:17 +0000 2023;1659573447645859800;1659573447645859841;"@treasuremenfess @preciouskiewoos mam ini daddy kenapa😭 pasti di kdrt in kan?? ampe giginya hilang gtu";0;1;0;0;;in;1088662496854953984;1659570861618102300;1659570861618102273;"";"";waifeu_Jihoon
Fri May 19 14:41:27 +0000 2023;1659569963554963500;1659569963554963461;"selama bukan kasus affair atau kdrt? what about verbal and psychological abuse then? i don't see bruises on my mother. but i see her being imprisoned by her asshole husband and that leads to her being abusive towards ME.\nhttps://t.co/VWDduYm4QG";3;1;0;6;;en;1602261037507522561;1659569381326864400;1659569381326864384;"";"";728kitsunebi
Fri May 19 14:30:48 +0000 2023;1659567283243749400;1659567283243749376;"isi sekeliling ku tuh sebelah sini baru kawin, sebelah sana mau cerai, sebelah sini kdrt, sebelah sana selingkuh, sebelah sini happy marriage, sebelah sana “happy” marriage…..\n\nGofud apa yang enak sekitaran margahayu ?";0;0;0;0;;in;40633485;1659567283243749400;1659567283243749376;"";"";DelilaPC
Fri May 19 15:01:18 +0000 2023;1659574961768640500;1659574961768640512;"@jiwoongeu takut banget, KDRT!";0;0;0;0;;in;294663837;1659567492275265500;1659567492275265537;"";"";nkazuwha
Fri May 19 14:15:00 +0000 2023;1659563307060322300;1659563307060322310;"@todayisaaa km sering dpt kdrt yh🥺";0;1;0;0;;in;1628265762497626115;1659560733003354000;1659560733003354112;"";"";bubblecloudyy
Fri May 19 06:40:42 +0000 2023;1659448981695627300;1659448981695627264;"ni gweh ngomong sebagai anak ya\n\ntemen gw banyak bos yang ortunya masih bersama, tapi pisah ranjang, sekalinya ngobrol di rumah pake nada tinggi, ga jarang banting barang etc\n\nlu pikirin ga bang ndrew, enak kali ya liat begituan?";440;185;1823;11316;;in;560103367;1659448981695627300;1659448981695627264;"";"";angewwie
Fri May 19 15:10:49 +0000 2023;1659577353637617700;1659577353637617664;"@angewwie saya adalah produk hasil rumtang toxic tp ortu gamau pisah dengan alasan "kasian" anak. Mental kami rusak, tiap hari bagai di neraka liat ortu kdrt&amp;caci maki yang harus kami dengar🙂";0;2;1;3;;in;2431168278;1659448981695627300;1659448981695627264;"";"";murniahmadi
Fri May 19 14:09:55 +0000 2023;1659562029047492600;1659562029047492610;"jd inget waktu itu malem di ruang tv aku, kakak aku, adek cewe aku sm mama lg duduk2. mama abis kelahi sm ayah (KDRT smpe prnh main pisau) dan cerita keluh kesahnya sm kami bertiga. smpe akhirnya aku blg "knp mama gacerai aja sm ayah? kasian mama kaya gini terus"";0;1;0;0;;in;1301041321239429120;1659562029047492600;1659562029047492610;"";"";poorpleable
Fri May 19 14:19:53 +0000 2023;1659564534984745000;1659564534984744960;"Misae kan tukan KDRT 😤";0;0;0;0;;in;181948688;1659564534984745000;1659564534984744960;"";"";discotiquee
Fri May 19 12:40:13 +0000 2023;1659539455248826400;1659539455248826368;"why are you giving me kdrt lessons, ma'am, remember when you beat me up years ago? 😅😅😅";0;0;0;0;;en;1420080920321675264;1659539455248826400;1659539455248826368;"";"";kwakjiscok
Fri May 19 13:38:17 +0000 2023;1659554069403558000;1659554069403557890;"@vi_xx444 @Maswaay @detikcom Nemu aja si kakak ih 🤣";0;0;0;0;;in;1596755449596215297;1659403000639635500;1659403000639635456;"";"";TerzolimiAkutu
Fri May 19 13:27:32 +0000 2023;1659551362227794000;1659551362227793924;"@ni___saa @wlfdeersh @tanyakanrl Mnurut aku sih sah" aja dia nyari pembelaan. Korban perselingkuhan dan kdrt perlu dukungan orang lain, kita gak tau trauma apa yg akan dia alami jika tidak mengeluarkan unek" atas ketidakadilan yg dia alami.";0;0;0;6;;in;1145301022039896064;1659443778334359600;1659443778334359557;"";"";mariah_rina
Fri May 19 13:37:20 +0000 2023;1659553829917012000;1659553829917011968;"Gosah didengerin gaes\n\nBokap nyokap gue cerai, dan akhirnya kita bisa hidup bebas di rumah tanpa KDRT";0;10;43;53;;in;93882850;1659553829917012000;1659553829917011968;"";"";SoundOfYogi
Fri May 19 12:56:51 +0000 2023;1659543640694489000;1659543640694489089;"Setelah banyak perceraian di kalangan publik figur, ditambah tetangga depan rumah pasutri ribut + kdrt, padahal anaknya baru 1thn, gw dengernya ampe gemeterr\nDan makin overthinking\n\nBut there so many people consider marriage as a measure of life, whyyy";0;0;0;0;;in;494801053;1659543640694489000;1659543640694489089;"";"";rizkiamaliat
Fri May 19 13:12:28 +0000 2023;1659547572426662000;1659547572426661890;"@NdrewsTjan Ya kalo pasangannya waras bisa mikir tuh hrs dipertahankan apapun masalahnya kecuali selingkuh / kdrt. Tapi kalo ngga waras mending pisah. Biar yg waras tetep waras.";0;0;0;0;;in;1518411817957347328;1658772518034096000;1658772518034096128;"";"";_abcdefg_7
Fri May 19 12:57:25 +0000 2023;1659543784177414100;1659543784177414144;"@mainanmulu Berantem kalau masalah nya bukan karena selingkuh, gada kdrt, ya menurut gw masih wajar kaya si ayah naro anduk sembarangan, dll yg sepele dan ribut nya kecil kecil aja.";0;0;0;0;;in;1231424603744018433;1659348180272820200;1659348180272820224;"";"";akuapamahatuh
Fri May 19 13:04:53 +0000 2023;1659545664601329700;1659545664601329665;"@zzluyyy @sbtmskn fajar jahat anjir kalau kalah jangan kdrt lah harusnya maaf maafan aja";0;0;0;0;;in;1427325211863490560;1659542656442314800;1659542656442314753;"";"";Papayy42033770
Fri May 19 13:41:41 +0000 2023;1659554923300950000;1659554923300950016;"@SoundOfYogi Kalo yg dibahas mas itu kan masalah Ego yg digedein.Kalo yg masalah KDRT mah bebas bebas aja Om.";0;1;0;0;;in;401918097;1659553829917012000;1659553829917011968;"";"";hanungara
Fri May 19 12:40:15 +0000 2023;1659539464212091000;1659539464212090880;"Ga ada anak yg mau liat orangtuanya cerai atau liat keluarganya berantakan. Semua ya maunya punya keluarga utuh, ayah-ibu barengan, serumah, hangat, saling mencintai. Tapi ga ada juga anak yg tega dan betah liat orangtuanya tengkar mulu bahkan sampai kdrt, kan?";0;1;1;0;;in;70347500;1659539464212091000;1659539464212090880;"";"";irrainbow
Fri May 19 13:18:58 +0000 2023;1659549208070996000;1659549208070995970;"Diselingkuhin biasa,\nLagi sayang sayangnya diputus,\nDihajar fisik biasa,\nHubungan baik agama yang berbeda,\nSekarang menikah punya suami suka karoke, mabok, suka kdrt..";0;0;0;0;;in;1626645910104186880;1659549208070996000;1659549208070995970;"";"";norrajann
Wed May 17 09:52:41 +0000 2023;1658772518034096000;1658772518034096128;"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan";1418;239;609;1820;;in;1176673445263765504;1658772518034096000;1658772518034096128;"";"";NdrewsTjan
Fri May 19 13:37:32 +0000 2023;1659553879389012000;1659553879389011969;"@OHMYV3NUS istrinya ada angry issues suka kdrt pukulin suami ma anak ampe benjol 😭, suaminya genit bgt, anak cowonya lebih2 genitnya, suka pamer titit jg 😭😭";0;0;0;4;;in;1477309401442631683;1659436825965101000;1659436825965101056;"";"";tangerine_eater
Fri May 19 12:38:55 +0000 2023;1659539128487391200;1659539128487391232;"@WESTCHELLA INI BARU WGL UDAH KDRT AJ";0;0;0;0;;in;1033616851878596608;1659536204138958800;1659536204138958848;"";"";bbycmbi
Fri May 19 13:25:23 +0000 2023;1659550822781550600;1659550822781550592;"@saifulmujani @muchlis_ar @saidiman @saiful_mujani Setelah seorang suami KDRT sama istri...lalu istri di survey.di jawab puassss...keren .kelainan kali";0;0;0;4;;in;1603543715100131328;1659447434811179000;1659447434811179010;"";"";soni_akun_kedua
Fri May 19 13:19:43 +0000 2023;1659549395074044000;1659549395074043906;"Bagus sih ada kursus persiapan pernikahan, tapi susah jg y ga bisa cere kalo ternyata pasangan kdrt, selingkuh, tidak bertanggung jawab.\nLagipula, siapa bilang cerai itu gampang? Ada waktu &amp; uang yg terbuang, ada rasa yg sia2, anak2 yg mentally trauma, dll.";0;0;0;0;;in;1511358437229494277;1659549395074044000;1659549395074043906;"";"";nutgunnalie
Fri May 19 13:52:25 +0000 2023;1659557623946158000;1659557623946158080;"@GlMINGYEONG nggak lah, bukan kdrt juga. glad to hear that! 🥰";0;1;0;0;;in;3000448429;1659518778374500400;1659518778374500352;"";"";magnyolia
Thu May 18 15:30:08 +0000 2023;1659219827976970200;1659219827976970240;"Gampang amat orang2 itu cerai...\nSini masuk Katolik saja, mau nikah kursus persiapan perkawinan dulu, dan sekali menikah untuk seumur hidup, seberat apapun perkawinan tidak ada kata Cerai.";36;89;143;480;;in;1122307998896939008;1659219827976970200;1659219827976970240;"";"";KatolikG
Fri May 19 13:45:19 +0000 2023;1659555839479537700;1659555839479537665;"@gesangnurh @BaseBDG Serem bgt kdrt";0;1;0;0;;in;1358480997227003906;1659549788831117300;1659549788831117312;"";"";ginidehput
Fri May 19 12:18:59 +0000 2023;1659534110703100000;1659534110703099904;"ini lagi kdrt apa gimana...";0;1;0;0;;in;970263232899203072;1659534110703100000;1659534110703099904;"";"";yoojiminie__
Fri May 19 11:21:24 +0000 2023;1659519618787217400;1659519618787217408;"Nggak juga sih sebenernya. Kalo 'aib' itu udah 'nyebabin korban' aka ngerugiin orang lain, udah bukan aib lagi dan korban punya hak penuh buat speak up yg dia alamin, sama hal nya sama kdrt baik verbal maupun fisik, korbannya berhak speak up walau pelakunya orang tua sendiri";0;0;0;0;;in;1618481598537805826;1659519618787217400;1659519618787217408;"";"";lloidvalentine
Fri May 19 12:33:03 +0000 2023;1659537653044486100;1659537653044486150;"@angewwie Bukannya udh dijelasin ya, yg cerai selain kdrt dan affair. Yg gw tangkep, affair disini selingkuh. \n\nSedangkan dri ceritamu, org tua temenmu itu jelas kdrt. Jadi so what sbnernya sudah memiliki alasan jika ingin cerai.";0;0;0;0;;in;3268631058;1659448981695627300;1659448981695627264;"";"";Anitahirrr
Fri May 19 08:54:36 +0000 2023;1659482678046109700;1659482678046109697;"Cicilan 32 tahun, tapi jarak commute Kasukabe-Tokyo &gt;50km. Ini bukan role model, soalnya jelas sekali Pak Nohara salah ambil keputusan pas akad KPR\n\n🤣";230;149;1995;8222;;in;324439645;1659482678046109700;1659482678046109697;"";"";xathrya
Fri May 19 11:40:03 +0000 2023;1659524311676485600;1659524311676485632;"@oreodicelupin @tanyarlfes Komunikasi sih pasti cuma kadang ada sifat yg susah dirubah, selagi bukan selingkuh/kdrt ya terimain aja namanya juga kan nikah mah ibadah, jadi harus sabar 😂";0;0;0;0;;in;99253668;1659174499861041200;1659174499861041156;"";"";basotulangenak
Fri May 19 11:48:44 +0000 2023;1659526499744256000;1659526499744256000;"Kemaren marahin tetangga kayak gini gara2 dia sering berantem sm suaminya sampe pengen cerai, tp ditahan gara2 kasian nanti anak2nya kena mental kalo ortunya cerai, padahal anaknya lebih kena mental liat ortunya berantem tiap hari sampe kdrt";0;0;0;0;;in;62806318;1659526499744256000;1659526499744256000;"";"";hyungalah
Fri May 19 11:59:53 +0000 2023;1659529305632960500;1659529305632960513;"@naurar Kdrt namanya ini";0;0;0;0;;in;1386025693989859328;1659453069808271400;1659453069808271361;"";"";sirvenic
Fri May 19 12:32:43 +0000 2023;1659537566369198000;1659537566369198085;"Dari kecil di KDRT mulu capek aslinya sih, kepala dipukul pakek balok kayu juga pernah, apalagi ya dilempar piring hampir setiap hari, mau dilempar gas juga pernah WKWK. Sungguh ironi sekali, apalagi ya intinya banyak deh. Hmm bangun tidur diguyur air seember juga pernah woy";0;1;0;0;;in;1445747083655335943;1659536336540557300;1659536336540557313;"";"";manusiarajin_
Wed May 17 11:49:49 +0000 2023;1658801997628473300;1658801997628473347;"Target filmya ditujukan ke para orang tua biar mereka memahami sudut pandang anak2 yg ortunya bercerai, yg sangat tdk enak dimana saat masih kecil sudah punya beban menentukan ikut ayah atau ibunya. \n\n( pembahasan ini mengecualikan kasus kdrt ke istri dan anak ) https://t.co/m27Qa6ptUo";7;2;32;180;;in;1176673445263765504;1658772518034096000;1658772518034096128;"https://pbs.twimg.com/media/FwU_nrxacAAEKpf.jpg";"photo";NdrewsTjan
Fri May 19 11:22:44 +0000 2023;1659519954981617700;1659519954981617664;"@ahleaissleeping Nangis dipukul sama mba, KDRT nih..";0;1;0;0;;in;1515612801771139073;1659368980359041000;1659368980359041025;"";"";mayjendrl
Fri May 19 12:37:23 +0000 2023;1659538741206323200;1659538741206323206;"@marksupilamiee KDRT?";0;1;0;0;;in;1457340729718566915;1659422606376976400;1659422606376976386;"";"";xavierdevn
Wed May 17 09:52:41 +0000 2023;1658772518034096000;1658772518034096128;"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan";1418;239;609;1820;;in;1176673445263765504;1658772518034096000;1658772518034096128;"";"";NdrewsTjan
Fri May 19 12:05:52 +0000 2023;1659530810364661800;1659530810364661761;"@angewwie Ayahku nikah tp tidurin cewe sanasini-ga kasih nafkah-kdrt, ibuku dilarang cerai sama ortu&amp;mertua, harus bertahan demi anak². Hasilnya anak²nya malah "sakit jiwa"+ibu yg trauma meski bs cerai di 25th pernikahan. Nikah itu ayah+ibu.bukan ibu+anak. Cerai aja drpd nyakitin jiwa anak";1;1;2;12;;in;1210455058657116162;1659448981695627300;1659448981695627264;"";"";duniafaNANANA
Fri May 19 11:14:48 +0000 2023;1659517957280764000;1659517957280763905;"@supermirket KOK KM KDRT SI";0;0;0;0;;in;1541608077384089600;1659482439511842800;1659482439511842816;"";"";gojowandasho
Fri May 19 12:12:21 +0000 2023;1659532442469007400;1659532442469007360;"@21flawss @tanyakanrl Klo kdrt trus gak bisa cerai? Siap2 tiap hari terima kdrt yaaa";0;0;0;0;;in;163902949;1658883829841686500;1658883829841686533;"";"";yossheCHY
Fri May 19 11:12:47 +0000 2023;1659517451158298600;1659517451158298624;"@angewwie di tweet selanjutnya dia bilang sih ini diluar abuse/kdrt.\n\ngak belian belio loh yah. sebage kaum chronically online, aku tau kdg dia agak lain 🌚\n\nhttps://t.co/KSOQpM9izI";0;0;0;0;;in;230949237;1659448981695627300;1659448981695627264;"";"";mesmerrific
Fri May 19 11:14:08 +0000 2023;1659517790427168800;1659517790427168770;"Seringkali kejadian yg melakulan selingkuh, KDRT, dan gak bertanggung jawab atas keluarga itu si suami. \nBukannya ga ada istri yg begitu, tapi lebih banyak istri yg jadi korban, terutama dalam hal menanggung anak.";0;0;0;0;;in;470041232;1659517788212584400;1659517788212584448;"";"";itscruelsvmmer
Fri May 19 12:04:11 +0000 2023;1659530387876630500;1659530387876630529;"@LUNERPW Kamu kalau di sentil matanya,marah ga?";60;0;0;0;;in;1636273755998638080;1659528074638286800;1659528074638286848;"";"";bobbyandeo
Fri May 19 11:29:34 +0000 2023;1659521674801447000;1659521674801446913;"ばゃーに優しすぎる。気にかけてくれてたんかな";0;0;0;0;;ja;1521051042557079552;1659521674801447000;1659521674801446913;"";"";kdrt_420
