,full_text,clean_text,cluster
10,"@NdrewsTjan but, menyatukan 2 pikiran org dewasa jg susah. rawan bgt kdrt. apalagi kalau nahkodanya udh goyang. ini emang sebuah dilema. berat. intinya pilih pasangan baik baik sebelum memulai perkenalan lebih jauh. gua pernah bgt liat posisi tante gua cerai separah apa traumanya",but satu pikir orang dewasa susah rawan kdrt nahkoda goyang dilema berat inti pilih pasang kenal liat posisi tante cerai parah trauma,1
11,@skeptisyit Kdrt (keseruan dalam rumah tangga),kdrt seru rumah tangga,0
12,@kreidreprinz Kena kdrt kk :((,kena kdrt kakak,1
13,Kalau ini efek KDRT dan perang dunia ke 3 https://t.co/NPTayvhrHI,efek kdrt perang dunia,2
14,"@orngautmnprds @wiridkh @menghanyurkan Paradigma teologi yg dipake masih kurang dalem jg keknya, padahal kalo dipikir2 jauh ke depan, dosa si ibu bakalan jauh lebih banyak klo dipaksa membesarkan anak yg ga dia inginkan\nBs ujung2nya jd ditelantarkan, kdrt, dibuang/diusir atau dimaki2 tiap hari utk pelampiasan emosi",paradigma teologi pakai pikir dosa paksa besar anak inginkannbs ujung telantar kdrt dibuangdiusir maki lampias emosi,1
15,"@angewwie Perceraian itu memang menyakitkan,tp sy stuju anak adalah korban yg paling bnyk dirugikan. Tdk menyalahkan org yg mmtskn brcerai. Lebih mnylahkan pelaku yg mnybbkn cerai,misal ksus selingkuh,kdrt,suami ga kasih nafkah,itulh cnth case cerai krn keegoisan,yg bgtu g mkirin anakny""",cerai menyakitkantp stuju anak korban rugi tdk salah orang mmtskn brcerai mnylahkan laku mnybbkn ceraimisal ksus selingkuhkdrtsuami kasih nafkahitulh cnth case cerai keegoisanyg mkirin anakny,1
16,@m_yunus_dk Amiiiinnn🤲,amiiiinnn,0
17,"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,1
18,"W posisi sbg anak ni ya.\n\nNgeliat ortu ribut dari gue sd sampe lulus smp, ngeliat kdrt dlm rumah, saat mereka beneran cerai, gue lega luar biasa. Tp sayang trauma masa kecil gue ngeliat ortu ribut gabisa ilang.\n\nTau gitu dr awal aja kan cerai nya",w posisi anak yannngeliat orangtua ribut sd lulus smp ngeliat kdrt rumah cerai lega tp sayang trauma ngeliat orangtua ribut ilangnntau cerai nya,1
19,"loh si A selingkuh kdrt tp agamanya bagus..""0\n\nye kalo dia selingkuh dia kdrt masih belom bagus berati itu agamanya masi ada yg kurang""",loh a selingkuh kdrt agama bagusnnye selingkuh kdrt bagus berat agama mas,1
20,@convomf Aku dapet yg tukang KDRT,tukang kdrt,0
21,"role model this role model that, role model pernikahan gue nanti cuma keluarga ini. karyawan kantoran ft. ibu rumah tangga dengan 2 orang anak dan hewan peliharaan, tinggal di rumah yg masih nyicil KPR 32 tahun. https://t.co/20VWQqic34",role model this role model that role model nikah keluarga karyawan kantor ft rumah tangga orang anak hewan pelihara tinggal rumah nyicil kpr,0
22,"Ini maksutnya kudu pd mikir sblum nikah. Konsef nya dipahamin. Mampu gk, ketaker gk kira-kira kudu dealing sm org macam psngn antum masing-masing. Cm kalo kdrt sm perceraian beda cerita. Nah sbnernya masih bertanya-tanya jg tuh stad gmn caranya yakin ini gk selingkuh dan gak kdrt",maksutnya kudu mikir sblum nikah konsef nya dipahamin ketaker kirakira kudu dealing orang psngn antum masingmasing cm kdrt cerai beda cerita sbnernya bertanyatanya tuh stad selingkuh kdrt,1
23,"7 Film tentang Perjuangan Korban KDRT, Emosional! https://t.co/KrpVXHGQ1A",film juang korban kdrt emosional,0
24,@jskelovebot @MiyaAa092000 kdrt,kdrt,1
25,めり込んでる…？,,0
26,"Gw malah bersyukur mak bapak cerai anjret, terhindar dari potensi kdrt yang udh mulai keliatan.",gw syukur mak cerai anjret hindar potensi kdrt,1
27,"@LailaMa08717177 @detikcom Di budaya patriarki definisi nikah adlah perbudakan yg dilegalkan (menurut aku, dengan mwlihat kehidupan pernikahan teman2 dan kerabat)\nBahkan anak laki2 dianggap istimewa, anak perempuan walau bekerja tetap harus bisa melakukan pekerjaan rumah\nKalau ada KDRT saat istri speak up",budaya patriark definisi nikah adlah budak legal mwlihat hidup nikah teman kerabatnbahkan anak laki anggap istimewa anak perempuan kerja rumahnkalau kdrt istri speak up,2
28,@NdrewsTjan @_iin07 Kupinjam ya kata2 ini. Buat status wa. https://t.co/PTnYzku4qH,pinjam status,1
29,"@deanas93 Klo egonya terluka cenderung jd abusive dan kasar. Ujung2nya KDRT. Yg paling parah yaa menyiksa sampe membunuh.\n\nKbnykan Laki² Indonesia itu dah fatherless patriarki pula. Didikannya laki² ga bole nangis, ga bole cengeng ga boleh gagal, ga boleh mengalami penolakan dll.",klo ego luka cenderung abusive kasar ujung kdrt parah yaa siksa membunuhnnkbnykan laki indonesia fatherless patriark dik laki nang cengeng gagal alami tolak,1
30,"@tang__kira Semoga yg belom nikah, diberikan jodoh yg gak doyan selingkuh dan gak kdrt",moga nikah jodoh suka selingkuh kdrt,1
31,"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,1
32,"Selama bukan kasus affair dan kdrt, divorce seharusnya tdk dilakukan. \nDalam kasus affair saja kalau pasangannya diberi kesempatan dan berubah, maka tdk perlu berpisah. \n\nSedangkan dalam kasus kdrt divorce bsa dilakukan untuk keselamatan korban kdrt ( termasuk anak2 )",affair kdrt divorce ndalam affair pasang sempat ubah pisah nnsedangkan kdrt divorce selamat korban kdrt anak,1
33,@jevilonie @seirga_ KLO MW KDRT JNGAN BAWA NM GUA,klo mw kdrt jngan bawa nm gua,0
34,"Bokap nyokap cerai bukan karena orang ketiga atau KDRT. Dan tetap aja kita sebagai anak, bersyukur akhirnya mereka pisah. Mereka udah gede, dan kita udah capek ngeliat mereka jadi banyak ga cocok dan ga bisa hidup tenang terus. Biar hidup kita sebagai anak juga tenang",bokap nyokap cerai orang tiga kdrt anak syukur pisah gede capai ngeliat cocok hidup tenang biar hidup anak tenang,0
35,@treasuremenfess @preciouskiewoos mam ini daddy kenapa😭 pasti di kdrt in kan?? ampe giginya hilang gtu,mam daddy kdrt in ampe gigi hilang,2
36,selama bukan kasus affair atau kdrt? what about verbal and psychological abuse then? i don't see bruises on my mother. but i see her being imprisoned by her asshole husband and that leads to her being abusive towards ME.\nhttps://t.co/VWDduYm4QG,affair kdrt what about verbal and psychological abuse then i dont see bruises on my mother but i see her being imprisoned by her asshole husband and that leads to her being abusive towards men,1
37,"isi sekeliling ku tuh sebelah sini baru kawin, sebelah sana mau cerai, sebelah sini kdrt, sebelah sana selingkuh, sebelah sini happy marriage, sebelah sana “happy” marriage…..\n\nGofud apa yang enak sekitaran margahayu ?",isi keliling ku tuh belah kawin belah cerai belah kdrt belah selingkuh belah happy marriage belah happy marriagenngofud enak sekitar margahayu,2
38,"@jiwoongeu takut banget, KDRT!",takut kdrt,1
39,@todayisaaa km sering dpt kdrt yh🥺,kdrt yh,1
40,"ni gweh ngomong sebagai anak ya\n\ntemen gw banyak bos yang ortunya masih bersama, tapi pisah ranjang, sekalinya ngobrol di rumah pake nada tinggi, ga jarang banting barang etc\n\nlu pikirin ga bang ndrew, enak kali ya liat begituan?",gweh bicara anak yanntemen bos ortunya pisah ranjang sekali bicara rumah pakai nada jarang banting barang etcnnlu pikirin bang ndrew enak kali liat begitu,1
41,"jd inget waktu itu malem di ruang tv aku, kakak aku, adek cewe aku sm mama lg duduk2. mama abis kelahi sm ayah (KDRT smpe prnh main pisau) dan cerita keluh kesahnya sm kami bertiga. smpe akhirnya aku blg knp mama gacerai aja sm ayah? kasian mama kaya gini terus""""",malam ruang tv kakak adik cewek mama duduk mama abis kelahi ayah kdrt main pisau cerita keluh kesah tiga bilang mama gacerai ayah kasihan mama kaya gin,1
42,Misae kan tukan KDRT 😤,misae tuk kdrt,1
43,"why are you giving me kdrt lessons, ma'am, remember when you beat me up years ago? 😅😅😅",why are you giving me kdrt lessons maam remember when you beat me up years ago,1
44,@vi_xx444 @Maswaay @detikcom Nemu aja si kakak ih 🤣,nemu kakak ih,1
45,"@ni___saa @wlfdeersh @tanyakanrl Mnurut aku sih sah aja dia nyari pembelaan. Korban perselingkuhan dan kdrt perlu dukungan orang lain, kita gak tau trauma apa yg akan dia alami jika tidak mengeluarkan unek"" atas ketidakadilan yg dia alami.""",mnurut sih sah cari bela korban selingkuh kdrt dukung orang trauma alami keluar unek ketidakadilan alami,2
46,"Gosah didengerin gaes\n\nBokap nyokap gue cerai, dan akhirnya kita bisa hidup bebas di rumah tanpa KDRT",gosah dengar gaesnnbokap nyokap cerai hidup bebas rumah kdrt,0
47,"Setelah banyak perceraian di kalangan publik figur, ditambah tetangga depan rumah pasutri ribut + kdrt, padahal anaknya baru 1thn, gw dengernya ampe gemeterr\nDan makin overthinking\n\nBut there so many people consider marriage as a measure of life, whyyy",cerai kalang publik figur tambah tetangga rumah pasang suami istri ribut kdrt anak dengernya ampe gemeterrndan overthinkingnnbut there so many people consider marriage as a measure of life whyyy,1
48,@NdrewsTjan Ya kalo pasangannya waras bisa mikir tuh hrs dipertahankan apapun masalahnya kecuali selingkuh / kdrt. Tapi kalo ngga waras mending pisah. Biar yg waras tetep waras.,pasang waras mikir tuh tahan apa kecuali selingkuh kdrt waras mending pisah biar waras waras,1
49,"@mainanmulu Berantem kalau masalah nya bukan karena selingkuh, gada kdrt, ya menurut gw masih wajar kaya si ayah naro anduk sembarangan, dll yg sepele dan ribut nya kecil kecil aja.",antem nya selingkuh kdrt wajar kaya ayah naro anduk sembarang sepele ribut nya,1
50,@zzluyyy @sbtmskn fajar jahat anjir kalau kalah jangan kdrt lah harusnya maaf maafan aja,fajar jahat anjir kalah kdrt maaf maaf,1
51,@SoundOfYogi Kalo yg dibahas mas itu kan masalah Ego yg digedein.Kalo yg masalah KDRT mah bebas bebas aja Om.,kalo bahas mas ego digedeinkalo kdrt mah bebas bebas om,1
52,"Ga ada anak yg mau liat orangtuanya cerai atau liat keluarganya berantakan. Semua ya maunya punya keluarga utuh, ayah-ibu barengan, serumah, hangat, saling mencintai. Tapi ga ada juga anak yg tega dan betah liat orangtuanya tengkar mulu bahkan sampai kdrt, kan?",anak liat orangtuanya cerai liat keluarga beranta mau keluarga utuh ayahibu sama rumah hangat cinta anak tega betah liat orangtuanya tengkar kdrt,0
53,"Diselingkuhin biasa,\nLagi sayang sayangnya diputus,\nDihajar fisik biasa,\nHubungan baik agama yang berbeda,\nSekarang menikah punya suami suka karoke, mabok, suka kdrt..",diselingkuhin biasanlagi sayang sayang diputusndihajar fisik biasanhubungan agama berbedansekarang meni suami suka karaoke mabok suka kdrt,1
54,"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,1
55,"@OHMYV3NUS istrinya ada angry issues suka kdrt pukulin suami ma anak ampe benjol 😭, suaminya genit bgt, anak cowonya lebih2 genitnya, suka pamer titit jg 😭😭",istri angry issues suka kdrt pukulin suami ma anak ampe benjol suami genit anak cowonya genit suka pamer titit,1
56,@WESTCHELLA INI BARU WGL UDAH KDRT AJ,wgl udah kdrt aj,1
57,@saifulmujani @muchlis_ar @saidiman @saiful_mujani Setelah seorang suami KDRT sama istri...lalu istri di survey.di jawab puassss...keren .kelainan kali,suami kdrt istrilalu istri surveydi puasssskeren lain kali,1
58,"Bagus sih ada kursus persiapan pernikahan, tapi susah jg y ga bisa cere kalo ternyata pasangan kdrt, selingkuh, tidak bertanggung jawab.\nLagipula, siapa bilang cerai itu gampang? Ada waktu &amp; uang yg terbuang, ada rasa yg sia2, anak2 yg mentally trauma, dll.",bagus sih kursus siap nikah susah y cere pasang kdrt selingkuh tanggung jawabnlagipula bilang cerai gampang uang buang sia anak mentally trauma,1
59,"@GlMINGYEONG nggak lah, bukan kdrt juga. glad to hear that! 🥰",kdrt glad to hear that,1
60,"Gampang amat orang2 itu cerai...\nSini masuk Katolik saja, mau nikah kursus persiapan perkawinan dulu, dan sekali menikah untuk seumur hidup, seberat apapun perkawinan tidak ada kata Cerai.",gampang orang cerainsini masuk katolik nikah kursus siap kawin meni umur hidup berat apa kawin cerai,1
61,@gesangnurh @BaseBDG Serem bgt kdrt,rem kdrt,1
62,ini lagi kdrt apa gimana...,kdrt gimana,1
63,"Nggak juga sih sebenernya. Kalo 'aib' itu udah 'nyebabin korban' aka ngerugiin orang lain, udah bukan aib lagi dan korban punya hak penuh buat speak up yg dia alamin, sama hal nya sama kdrt baik verbal maupun fisik, korbannya berhak speak up walau pelakunya orang tua sendiri",nggak sih kalo aib nyebabin korban aka ngerugiin orang aib korban hak penuh speak up alamin nya kdrt verbal fisik korban hak speak up laku orang tua,0
64,"@angewwie Bukannya udh dijelasin ya, yg cerai selain kdrt dan affair. Yg gw tangkep, affair disini selingkuh. \n\nSedangkan dri ceritamu, org tua temenmu itu jelas kdrt. Jadi so what sbnernya sudah memiliki alasan jika ingin cerai.",dijelasin cerai kdrt affair tangkep affair selingkuh nnsedangkan cerita orang tua temenmu kdrt so what sbnernya milik alas cerai,1
65,"Cicilan 32 tahun, tapi jarak commute Kasukabe-Tokyo &gt;50km. Ini bukan role model, soalnya jelas sekali Pak Nohara salah ambil keputusan pas akad KPR\n\n🤣",cicil jarak commute kasukabetokyo gtkm role model nohara salah ambil putus pas akad kprnn,1
66,"@oreodicelupin @tanyarlfes Komunikasi sih pasti cuma kadang ada sifat yg susah dirubah, selagi bukan selingkuh/kdrt ya terimain aja namanya juga kan nikah mah ibadah, jadi harus sabar 😂",komunikasi sih kadang sifat susah rubah selagi selingkuhkdrt terimain nama nikah mah ibadah sabar,1
67,"Kemaren marahin tetangga kayak gini gara2 dia sering berantem sm suaminya sampe pengen cerai, tp ditahan gara2 kasian nanti anak2nya kena mental kalo ortunya cerai, padahal anaknya lebih kena mental liat ortunya berantem tiap hari sampe kdrt",kemaren marahin tetangga gin gara tengkar suami cerai tahan gara kasihan anak kena mental ortunya cerai anak kena mental liat ortunya tengkar kdrt,0
68,@naurar Kdrt namanya ini,kdrt nama,1
69,"Dari kecil di KDRT mulu capek aslinya sih, kepala dipukul pakek balok kayu juga pernah, apalagi ya dilempar piring hampir setiap hari, mau dilempar gas juga pernah WKWK. Sungguh ironi sekali, apalagi ya intinya banyak deh. Hmm bangun tidur diguyur air seember juga pernah woy",kdrt capai asli sih kepala pukul pakai balok kayu lempar piring lempar gas wkwk sungguh ironi inti deh hmm bangun tidur guyur air ember woy,1
70,"Target filmya ditujukan ke para orang tua biar mereka memahami sudut pandang anak2 yg ortunya bercerai, yg sangat tdk enak dimana saat masih kecil sudah punya beban menentukan ikut ayah atau ibunya. \n\n( pembahasan ini mengecualikan kasus kdrt ke istri dan anak ) https://t.co/m27Qa6ptUo",target filmya orang tua biar paham sudut pandang anak ortunya cerai enak mana beban tentu ayah ibu nn bahas kecuali kdrt istri anak,1
71,"@ahleaissleeping Nangis dipukul sama mba, KDRT nih..",nang pukul mba kdrt nih,1
72,@marksupilamiee KDRT?,kdrt,1
73,"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,1
74,"@angewwie Ayahku nikah tp tidurin cewe sanasini-ga kasih nafkah-kdrt, ibuku dilarang cerai sama ortu&amp;mertua, harus bertahan demi anak². Hasilnya anak²nya malah sakit jiwa""+ibu yg trauma meski bs cerai di 25th pernikahan. Nikah itu ayah+ibu.bukan ibu+anak. Cerai aja drpd nyakitin jiwa anak""",ayah nikah tidurin cewek sanasiniga kasih nafkahkdrt ibu larang cerai ortuampmertua tahan anak hasil anak nya sakit jiwaibu trauma cerai th nikah nikah ayahibubukan ibuanak cerai sakit jiwa anak,1
75,@supermirket KOK KM KDRT SI,km kdrt,1
76,@21flawss @tanyakanrl Klo kdrt trus gak bisa cerai? Siap2 tiap hari terima kdrt yaaa,klo kdrt cerai terima kdrt yaaa,1
77,"@angewwie di tweet selanjutnya dia bilang sih ini diluar abuse/kdrt.\n\ngak belian belio loh yah. sebage kaum chronically online, aku tau kdg dia agak lain 🌚\n\nhttps://t.co/KSOQpM9izI",tweet bilang sih luar abusekdrtnngak belian belio loh yah sebage kaum chronically online kadang nn,1
78,"Seringkali kejadian yg melakulan selingkuh, KDRT, dan gak bertanggung jawab atas keluarga itu si suami. \nBukannya ga ada istri yg begitu, tapi lebih banyak istri yg jadi korban, terutama dalam hal menanggung anak.",seringkali jadi melakulan selingkuh kdrt tanggung keluarga suami nbukannya istri istri korban tanggung anak,1
79,"@LUNERPW Kamu kalau di sentil matanya,marah ga?",sentil matanyamarah,0
80,ばゃーに優しすぎる。気にかけてくれてたんかな,,0
81,"Klo dl usia 20an wah byk yg nikah, turut hepi dan ngerasa FOMO juga. Tp stlh usia 30an, yg cerai berbaris panjang. Dan ngerasa sedih juga. But if someones happy after divorce aplg klo ada KDRT entah sekadar gaslight atw smp dera fisik, ya itu baik sekali utk mereka bahkan anak2.",klo usia an nikah hepi fomo tp usia an cerai bar sedih but if someones happy after divorce aplg kdrt gaslight smp dera fisik anak,1
82,Mana Bu Misae juga emosian. Belum lagi anaknya cabul dua2nya. Anjingnya juga korban KDRT.,bu misae emosi anak cabul dua anjing korban kdrt,2
83,"Orang-orang yang ngomong “jangan cerai, kasian anak” itu pernah gak ya terbersit betapa lebih kasiannya kalo si anak ini harus liat orang tuanya teriak-teriakan tiap hari, diem-dieman sepanjang tahun, atau sekalinya (terpaksa) ngomong sambil banting barang.\n\nI mean…",orangorang bicara cerai kasihan anak bersit betapa kasi anak liat orang tua teriakteriakan diemdieman sekali paksa bicara banting barangnni mean,0
84,"GAK DULU. testi langsung ini dari anak yang ngalamin 30++ tahun dalam hidupnya dibawah pernikahan orang tua yang keliatannya baik2 aja padahal enggak. ps. yes, no affairs, no kdrt, tapi yang jelas tidak baik-baik saja.",testi langsung anak ngalamin hidup bawah nikah orang tua liat ps yes no affairs no kdrt baikbaik,2
85,"@angewwie @flore_ta @NdrewsTjan tp kalau udah nyangkut keimanan (ada yang murtad), kdrt dan kebatilan dalam rumah tangga, emang harus cerai sih kata pak ustad",nyangkut iman murtad kdrt batil rumah tangga cerai sih ustad,0
86,"@vannillaas @anotherslice_r @tanyakanrl Tp menurutku inara makin ke sini makin too much information, jatohnya emg nyebar aib sih. Klo cm bagian selingkuh doang sih gpp harusnya",tp turut inara too much information jatohnya nyebar aib sih klo selingkuh sih apa,1
87,移動日も時間までみっちり練習する選手を見ると自分も頑張らないとなーって思うわ,,0
88,"ya serah dah, giliran ada KDRT ntar diem aja 😔",serah gilir kdrt diam,1
89,"Yg penting masalahnya bukan perselingkuhan dan kdrt,\nKarna gue anak yg ortunya selingkuh dan kdrt, gue kasian sama adek gue yg lihat itu, dari dlm kandungan bpk selingkuh, gue sih mending ortu cerai",selingkuh kdrtnkarna anak ortunya selingkuh kdrt kasihan adik lihat kandung selingkuh sih mending orangtua cerai,1
90,"Kl dr aku sendiri takut nikah cepet2, soalnya dr kemaren denger kasus dr KDRT, Perselingkuhan, sampe Pembunuhan. Yng ngelakuin? Suami dan keluarganya...",kl takut nikah cepat kemarin dengar kdrt selingkuh bunuh yng ngelakuin suami keluarga,1
91,Siap pak https://t.co/blbQZUDq9h,,0
92,"Kenapa banyak generasi skrg nunda nikah? Karena rumah, tanah, dll MAHAL.\nKenapa mahal? Karena generasi Boomer sendiri yg beranak pinak, doyan borong aset, trus dijual mahal ke generasi skrg.\nLalu apa yang terjadi? Ya betul, banyak bermunculan Sandwich Generation.",generasi nunda nikah rumah tanah mahalnkenapa mahal generasi boomer anak pinak suka borong aset jual mahal generasi skrgnlalu muncul sandwich generation,0
93,"@NdrewsTjan Tapi ternyata karena kesabaran Bapaklah pernikahan itu bisa langgeng sampai sekarang. Karena sebenarnya memang wajar berantem atau beda pemahaman (kecuali selingkuh/KDRT) dalam suatu hubungan itu, apalagi pernikahan. Yg terpenting harus ada yg mau menurunkan ego/ngalah.",sabar bapak nikah langgeng wajar tengkar beda paham kecuali selingkuhkdrt hubung nikah penting turun egongalah,1
94,@seungminbogor ak gmpar mw?,gmpar,0
95,"@Sepongbep @RafiElfansyah ppffft begitulah, kebanyakan yg di puji² terus ijung2nya ada berita selingkuh, cerai, kdrt dll..\nemng bener kemesraan rumah tangga tu jan terlalu di ekspos, klo di islam ada namanya ain 🤣",ppffft banyak puji ijungnya berita selingkuh cerai kdrt dllnemng mesra rumah tangga jan ekspos islam nama ain,0
96,"@meila_lef 😂😂😂,,,y udah mandi gih, ntar kna kdrt😀",y mandi gih kena kdrt,0
97,@Ohshuny @yeoliismine @byunbear_ @noviaerina19 @nicha_pcyeol @Aylwmj49 Kdrt woi 😭,kdrt woi,1
98,@adri_7i Serem ah pake KDRT 🤣🤣🤣,rem ah pakai kdrt,2
99,"gue keknya pernah bilang ke mama gue, Klo bisa muter waktu, jgn nikah sm papa ya. Cari yg lain aja"" dan mama gue nolak blg nanti gak dpt gue. Pdhl gpp gaada gue juga, kali aja nanti anaknya lebih baik drpd gue apalagi kalo anaknya hidup dikeluarga berkecukupan tanpa kdrt.""",bilang mama klo muter nikah papa cari mama tolak bilang pdhl apa kali anak anak hidup keluarga cukup kdrt,1
100,@NdrewsTjan Setuju sih soal masalah lain selain affair dan kdrt itu memang setidaknya bisa dikomunikasikan alias ga mesti cerai.,tuju sih affair kdrt komunikasi alias mesti cerai,1
101,"Setuju ndre. Selama gak ada fundamental yg dilanggar, (kdrt, selingkuh dll). W rasa masih bisa diobrolin. Disertai konseling maupun wasilah.",tuju ndre fundamental langgar kdrt selingkuh w diobrolin serta konseling wasilah,2
102,"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,1
103,"@jogmfs Haha, bapaku dulu udah ketauan selingkuh berkali kali sama mamaku, tapi sekarang masih bersama, dulu kdrt juga seingetku, tapi gk tau kenapa mamahku bertahan sampe sekarang. Yaa sekarang alhamdulillah gak pernah begitu lagi,",haha bapa tau selingkuh kali kali mama kdrt seingetku mamah tahan yaa alhamdulillah,1
104,"@wlfdeersh @tanyakanrl Manusia tempat salah tapi jangan lupa mereka juga punya tanggung jawab buat ngelakuin kesalahan itu. Kl semua orang punya pemikiran kaya gini, orang bakal males speak up masalah perselingkuhan, kdrt dsb. Aib virgoun udh ditahan, tp virgoun sendiri yg g kapok. Ga tau diri namanya.",manusia salah lupa tanggung ngelakuin salah kl orang pikir kaya gin orang males speak up selingkuh kdrt aib virgoun tahan virgoun kapok nama,1
105,"Angka Pernikahan Dini di Pati Tinggi, Disinyalir Jadi Sebab KDRT \n\nSelengkapnya Klik Tautan Berikut ini \n#pati #pernikahandini #kdrt #infomuria \n\nhttps://t.co/3iI70Yif6K",angka nikah pati sinyalir kdrt nnselengkapnya klik taut npati pernikahandini kdrt infomuria nn,1
106,"@kanigaraharsa @tanyarlfes Prenup aku dan pasangan cuma tentang kdrt dan perselingkuhan. \n\nKalau kdrt, gue bisa berantem. \nKalau selingkuh, sorry, i deserve better",prenup pasang kdrt selingkuh nnkalau kdrt tengkar nkalau selingkuh sorry i deserve better,1
107,"@angewwie @astikamindya Bokap gue kdrt ke nyokap. Nyokap pun selingkuh akhirnya sama tmn kantornya. Gue udah paham padahal gue masih 4 tahun. Pas gue umur 6 tahun, bokap meninggal. That’s the blessing in disguise that had happened in my life. Gue ga paham hidup gue akan gimana kalo mereka masih nikah.",bokap kdrt nyokap nyokap selingkuh teman kantor gue paham pas umur ayah tinggal thats the blessing in disguise that had happened in my life gue paham hidup gimana nikah,1
108,"@bungalotus25 @meila_lef Mba nai jadi saksi ya, takut terjadi KDRT 🤣🤣",mba nai saksi takut kdrt,1
109,@hrtance Kdrt bgt njirr,kdrt njirr,1
110,Cucuku kdrt hng tyda lyke,cucu kdrt hng tyda lyke,1
111,@mainanmulu tapi kdrt,kdrt,1
112,mana ada kdrt ini namanya bentuk kasih sayang melalui physical touch(screen ancur),kdrt nama bentuk kasih sayang physical touchscreen hancur,1
113,"perselingkuhan itu termasuk KDRT, it's mental abuse",selingkuh kdrt its mental abuse,0
