full_text,clean_text,tokenized_sents,polarity_score,polarity
selama bukan kasus affair atau kdrt? what about verbal and psychological abuse then? i don't see bruises on my mother. but i see her being imprisoned by her asshole husband and that leads to her being abusive towards ME.\nhttps://t.co/VWDduYm4QG,affair kdrt what about verbal and psychological abuse then i dont see bruises on my mother but i see her being imprisoned by her asshole husband and that leads to her being abusive towards men,"['affair', 'kdrt', 'what', 'about', 'verbal', 'and', 'psychological', 'abuse', 'then', 'i', 'dont', 'see', 'bruises', 'on', 'my', 'mother', 'but', 'i', 'see', 'her', 'being', 'imprisoned', 'by', 'her', 'asshole', 'husband', 'and', 'that', 'leads', 'to', 'her', 'being', 'abusive', 'towards', 'men']",1,1
"isi sekeliling ku tuh sebelah sini baru kawin, sebelah sana mau cerai, sebelah sini kdrt, sebelah sana selingkuh, sebelah sini happy marriage, sebelah sana “happy” marriage…..\n\nGofud apa yang enak sekitaran margahayu ?",isi keliling ku tuh belah kawin belah cerai belah kdrt belah selingkuh belah happy marriage belah happy marriagenngofud enak sekitar margahayu,"['isi', 'keliling', 'ku', 'tuh', 'belah', 'kawin', 'belah', 'cerai', 'belah', 'kdrt', 'belah', 'selingkuh', 'belah', 'happy', 'marriage', 'belah', 'happy', 'marriagenngofud', 'enak', 'sekitar', 'margahayu']",-31,2
"@jiwoongeu takut banget, KDRT!",takut kdrt,"['takut', 'kdrt']",-3,2
@todayisaaa km sering dpt kdrt yh🥺,kdrt yh,"['kdrt', 'yh']",0,0
"ni gweh ngomong sebagai anak ya\n\ntemen gw banyak bos yang ortunya masih bersama, tapi pisah ranjang, sekalinya ngobrol di rumah pake nada tinggi, ga jarang banting barang etc\n\nlu pikirin ga bang ndrew, enak kali ya liat begituan?",gweh bicara anak yanntemen bos ortunya pisah ranjang sekali bicara rumah pakai nada jarang banting barang etcnnlu pikirin bang ndrew enak kali liat begitu,"['gweh', 'bicara', 'anak', 'yanntemen', 'bos', 'ortunya', 'pisah', 'ranjang', 'sekali', 'bicara', 'rumah', 'pakai', 'nada', 'jarang', 'banting', 'barang', 'etcnnlu', 'pikirin', 'bang', 'ndrew', 'enak', 'kali', 'liat', 'begitu']",1,1
"jd inget waktu itu malem di ruang tv aku, kakak aku, adek cewe aku sm mama lg duduk2. mama abis kelahi sm ayah (KDRT smpe prnh main pisau) dan cerita keluh kesahnya sm kami bertiga. smpe akhirnya aku blg knp mama gacerai aja sm ayah? kasian mama kaya gini terus""""",malam ruang tv kakak adik cewek mama duduk mama abis kelahi ayah kdrt main pisau cerita keluh kesah tiga bilang mama gacerai ayah kasihan mama kaya gin,"['malam', 'ruang', 'tv', 'kakak', 'adik', 'cewek', 'mama', 'duduk', 'mama', 'abis', 'kelahi', 'ayah', 'kdrt', 'main', 'pisau', 'cerita', 'keluh', 'kesah', 'tiga', 'bilang', 'mama', 'gacerai', 'ayah', 'kasihan', 'mama', 'kaya', 'gin']",12,1
Misae kan tukan KDRT 😤,misae tuk kdrt,"['misae', 'tuk', 'kdrt']",0,0
"why are you giving me kdrt lessons, ma'am, remember when you beat me up years ago? 😅😅😅",why are you giving me kdrt lessons maam remember when you beat me up years ago,"['why', 'are', 'you', 'giving', 'me', 'kdrt', 'lessons', 'maam', 'remember', 'when', 'you', 'beat', 'me', 'up', 'years', 'ago']",-2,2
@vi_xx444 @Maswaay @detikcom Nemu aja si kakak ih 🤣,nemu kakak ih,"['nemu', 'kakak', 'ih']",-2,2
"@ni___saa @wlfdeersh @tanyakanrl Mnurut aku sih sah aja dia nyari pembelaan. Korban perselingkuhan dan kdrt perlu dukungan orang lain, kita gak tau trauma apa yg akan dia alami jika tidak mengeluarkan unek"" atas ketidakadilan yg dia alami.""",mnurut sih sah cari bela korban selingkuh kdrt dukung orang trauma alami keluar unek ketidakadilan alami,"['mnurut', 'sih', 'sah', 'cari', 'bela', 'korban', 'selingkuh', 'kdrt', 'dukung', 'orang', 'trauma', 'alami', 'keluar', 'unek', 'ketidakadilan', 'alami']",-18,2
"Gosah didengerin gaes\n\nBokap nyokap gue cerai, dan akhirnya kita bisa hidup bebas di rumah tanpa KDRT",gosah dengar gaesnnbokap nyokap cerai hidup bebas rumah kdrt,"['gosah', 'dengar', 'gaesnnbokap', 'nyokap', 'cerai', 'hidup', 'bebas', 'rumah', 'kdrt']",-11,2
"Setelah banyak perceraian di kalangan publik figur, ditambah tetangga depan rumah pasutri ribut + kdrt, padahal anaknya baru 1thn, gw dengernya ampe gemeterr\nDan makin overthinking\n\nBut there so many people consider marriage as a measure of life, whyyy",cerai kalang publik figur tambah tetangga rumah pasang suami istri ribut kdrt anak dengernya ampe gemeterrndan overthinkingnnbut there so many people consider marriage as a measure of life whyyy,"['cerai', 'kalang', 'publik', 'figur', 'tambah', 'tetangga', 'rumah', 'pasang', 'suami', 'istri', 'ribut', 'kdrt', 'anak', 'dengernya', 'ampe', 'gemeterrndan', 'overthinkingnnbut', 'there', 'so', 'many', 'people', 'consider', 'marriage', 'as', 'a', 'measure', 'of', 'life', 'whyyy']",4,1
@NdrewsTjan Ya kalo pasangannya waras bisa mikir tuh hrs dipertahankan apapun masalahnya kecuali selingkuh / kdrt. Tapi kalo ngga waras mending pisah. Biar yg waras tetep waras.,pasang waras mikir tuh tahan apa kecuali selingkuh kdrt waras mending pisah biar waras waras,"['pasang', 'waras', 'mikir', 'tuh', 'tahan', 'apa', 'kecuali', 'selingkuh', 'kdrt', 'waras', 'mending', 'pisah', 'biar', 'waras', 'waras']",-14,2
"@mainanmulu Berantem kalau masalah nya bukan karena selingkuh, gada kdrt, ya menurut gw masih wajar kaya si ayah naro anduk sembarangan, dll yg sepele dan ribut nya kecil kecil aja.",antem nya selingkuh kdrt wajar kaya ayah naro anduk sembarang sepele ribut nya,"['antem', 'nya', 'selingkuh', 'kdrt', 'wajar', 'kaya', 'ayah', 'naro', 'anduk', 'sembarang', 'sepele', 'ribut', 'nya']",-15,2
@zzluyyy @sbtmskn fajar jahat anjir kalau kalah jangan kdrt lah harusnya maaf maafan aja,fajar jahat anjir kalah kdrt maaf maaf,"['fajar', 'jahat', 'anjir', 'kalah', 'kdrt', 'maaf', 'maaf']",-12,2
@SoundOfYogi Kalo yg dibahas mas itu kan masalah Ego yg digedein.Kalo yg masalah KDRT mah bebas bebas aja Om.,kalo bahas mas ego digedeinkalo kdrt mah bebas bebas om,"['kalo', 'bahas', 'mas', 'ego', 'digedeinkalo', 'kdrt', 'mah', 'bebas', 'bebas', 'om']",-9,2
"Ga ada anak yg mau liat orangtuanya cerai atau liat keluarganya berantakan. Semua ya maunya punya keluarga utuh, ayah-ibu barengan, serumah, hangat, saling mencintai. Tapi ga ada juga anak yg tega dan betah liat orangtuanya tengkar mulu bahkan sampai kdrt, kan?",anak liat orangtuanya cerai liat keluarga beranta mau keluarga utuh ayahibu sama rumah hangat cinta anak tega betah liat orangtuanya tengkar kdrt,"['anak', 'liat', 'orangtuanya', 'cerai', 'liat', 'keluarga', 'beranta', 'mau', 'keluarga', 'utuh', 'ayahibu', 'sama', 'rumah', 'hangat', 'cinta', 'anak', 'tega', 'betah', 'liat', 'orangtuanya', 'tengkar', 'kdrt']",2,1
"Diselingkuhin biasa,\nLagi sayang sayangnya diputus,\nDihajar fisik biasa,\nHubungan baik agama yang berbeda,\nSekarang menikah punya suami suka karoke, mabok, suka kdrt..",diselingkuhin biasanlagi sayang sayang diputusndihajar fisik biasanhubungan agama berbedansekarang meni suami suka karaoke mabok suka kdrt,"['diselingkuhin', 'biasanlagi', 'sayang', 'sayang', 'diputusndihajar', 'fisik', 'biasanhubungan', 'agama', 'berbedansekarang', 'meni', 'suami', 'suka', 'karaoke', 'mabok', 'suka', 'kdrt']",-1,2
"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak', 'cma', 'ego', 'digedein', 'anak', 'bingung', 'ibu', 'pisah', 'enak', 'kali', 'lihat', 'bgtuan']",-6,2
"@OHMYV3NUS istrinya ada angry issues suka kdrt pukulin suami ma anak ampe benjol 😭, suaminya genit bgt, anak cowonya lebih2 genitnya, suka pamer titit jg 😭😭",istri angry issues suka kdrt pukulin suami ma anak ampe benjol suami genit anak cowonya genit suka pamer titit,"['istri', 'angry', 'issues', 'suka', 'kdrt', 'pukulin', 'suami', 'ma', 'anak', 'ampe', 'benjol', 'suami', 'genit', 'anak', 'cowonya', 'genit', 'suka', 'pamer', 'titit']",5,1
@WESTCHELLA INI BARU WGL UDAH KDRT AJ,wgl udah kdrt aj,"['wgl', 'udah', 'kdrt', 'aj']",0,0
@saifulmujani @muchlis_ar @saidiman @saiful_mujani Setelah seorang suami KDRT sama istri...lalu istri di survey.di jawab puassss...keren .kelainan kali,suami kdrt istrilalu istri surveydi puasssskeren lain kali,"['suami', 'kdrt', 'istrilalu', 'istri', 'surveydi', 'puasssskeren', 'lain', 'kali']",-4,2
"Bagus sih ada kursus persiapan pernikahan, tapi susah jg y ga bisa cere kalo ternyata pasangan kdrt, selingkuh, tidak bertanggung jawab.\nLagipula, siapa bilang cerai itu gampang? Ada waktu &amp; uang yg terbuang, ada rasa yg sia2, anak2 yg mentally trauma, dll.",bagus sih kursus siap nikah susah y cere pasang kdrt selingkuh tanggung jawabnlagipula bilang cerai gampang uang buang sia anak mentally trauma,"['bagus', 'sih', 'kursus', 'siap', 'nikah', 'susah', 'y', 'cere', 'pasang', 'kdrt', 'selingkuh', 'tanggung', 'jawabnlagipula', 'bilang', 'cerai', 'gampang', 'uang', 'buang', 'sia', 'anak', 'mentally', 'trauma']",-20,2
"@GlMINGYEONG nggak lah, bukan kdrt juga. glad to hear that! 🥰",kdrt glad to hear that,"['kdrt', 'glad', 'to', 'hear', 'that']",0,0
"Gampang amat orang2 itu cerai...\nSini masuk Katolik saja, mau nikah kursus persiapan perkawinan dulu, dan sekali menikah untuk seumur hidup, seberat apapun perkawinan tidak ada kata Cerai.",gampang orang cerainsini masuk katolik nikah kursus siap kawin meni umur hidup berat apa kawin cerai,"['gampang', 'orang', 'cerainsini', 'masuk', 'katolik', 'nikah', 'kursus', 'siap', 'kawin', 'meni', 'umur', 'hidup', 'berat', 'apa', 'kawin', 'cerai']",-4,2
@gesangnurh @BaseBDG Serem bgt kdrt,rem kdrt,"['rem', 'kdrt']",-5,2
ini lagi kdrt apa gimana...,kdrt gimana,"['kdrt', 'gimana']",0,0
"Nggak juga sih sebenernya. Kalo 'aib' itu udah 'nyebabin korban' aka ngerugiin orang lain, udah bukan aib lagi dan korban punya hak penuh buat speak up yg dia alamin, sama hal nya sama kdrt baik verbal maupun fisik, korbannya berhak speak up walau pelakunya orang tua sendiri",nggak sih kalo aib nyebabin korban aka ngerugiin orang aib korban hak penuh speak up alamin nya kdrt verbal fisik korban hak speak up laku orang tua,"['nggak', 'sih', 'kalo', 'aib', 'nyebabin', 'korban', 'aka', 'ngerugiin', 'orang', 'aib', 'korban', 'hak', 'penuh', 'speak', 'up', 'alamin', 'nya', 'kdrt', 'verbal', 'fisik', 'korban', 'hak', 'speak', 'up', 'laku', 'orang', 'tua']",-25,2
"@angewwie Bukannya udh dijelasin ya, yg cerai selain kdrt dan affair. Yg gw tangkep, affair disini selingkuh. \n\nSedangkan dri ceritamu, org tua temenmu itu jelas kdrt. Jadi so what sbnernya sudah memiliki alasan jika ingin cerai.",dijelasin cerai kdrt affair tangkep affair selingkuh nnsedangkan cerita orang tua temenmu kdrt so what sbnernya milik alas cerai,"['dijelasin', 'cerai', 'kdrt', 'affair', 'tangkep', 'affair', 'selingkuh', 'nnsedangkan', 'cerita', 'orang', 'tua', 'temenmu', 'kdrt', 'so', 'what', 'sbnernya', 'milik', 'alas', 'cerai']",-18,2
"Cicilan 32 tahun, tapi jarak commute Kasukabe-Tokyo &gt;50km. Ini bukan role model, soalnya jelas sekali Pak Nohara salah ambil keputusan pas akad KPR\n\n🤣",cicil jarak commute kasukabetokyo gtkm role model nohara salah ambil putus pas akad kprnn,"['cicil', 'jarak', 'commute', 'kasukabetokyo', 'gtkm', 'role', 'model', 'nohara', 'salah', 'ambil', 'putus', 'pas', 'akad', 'kprnn']",-5,2
"@oreodicelupin @tanyarlfes Komunikasi sih pasti cuma kadang ada sifat yg susah dirubah, selagi bukan selingkuh/kdrt ya terimain aja namanya juga kan nikah mah ibadah, jadi harus sabar 😂",komunikasi sih kadang sifat susah rubah selagi selingkuhkdrt terimain nama nikah mah ibadah sabar,"['komunikasi', 'sih', 'kadang', 'sifat', 'susah', 'rubah', 'selagi', 'selingkuhkdrt', 'terimain', 'nama', 'nikah', 'mah', 'ibadah', 'sabar']",4,1
